rank_sum,mean_rank,combination_count,probability,n_universe,class_size
200,66.66666666666667,1209,0.0059219420443190505,108,3
201,67.0,1197,0.005863163463233997,108,3
202,67.33333333333333,1184,0.005799486667058524,108,3
203,67.66666666666667,1171,0.00573580987088305,108,3
204,68.0,1158,0.005672133074707576,108,3
205,68.33333333333333,1144,0.005603558063441682,108,3
206,68.66666666666667,1130,0.005534983052175787,108,3
207,69.0,1116,0.0054664080409098925,108,3
208,69.33333333333333,1101,0.005392934814553577,108,3
209,69.66666666666667,1086,0.005319461588197261,108,3
210,70.0,1071,0.005245988361840945,108,3
211,70.33333333333333,1055,0.005167616920394209,108,3
212,70.66666666666667,1039,0.005089245478947471,108,3
213,71.0,1023,0.0050108740375007345,108,3
214,71.33333333333333,1006,0.004927604380963577,108,3
215,71.66666666666667,989,0.004844334724426419,108,3
216,72.0,972,0.004761065067889261,108,3
217,72.33333333333333,954,0.004672897196261682,108,3
218,72.66666666666667,936,0.0045847293246341035,108,3
219,73.0,919,0.004501459668096945,108,3
220,73.33333333333333,901,0.004413291796469367,108,3
221,73.66666666666667,884,0.004330022139932208,108,3
222,74.0,867,0.004246752483395051,108,3
223,74.33333333333333,850,0.004163482826857893,108,3
224,74.66666666666667,833,0.004080213170320735,108,3
225,75.0,817,0.004001841728873998,108,3
226,75.33333333333333,800,0.003918572072336841,108,3
227,75.66666666666667,784,0.003840200630890104,108,3
228,76.0,768,0.0037618291894433668,108,3
229,76.33333333333333,752,0.00368345774799663,108,3
230,76.66666666666667,736,0.003605086306549893,108,3
231,77.0,721,0.0035316130801935773,108,3
232,77.33333333333333,705,0.0034532416387468407,108,3
233,77.66666666666667,690,0.003379768412390525,108,3
234,78.0,675,0.003306295186034209,108,3
235,78.33333333333333,660,0.0032328219596778934,108,3
236,78.66666666666667,645,0.0031593487333215777,108,3
237,79.0,631,0.003090773722055683,108,3
238,79.33333333333333,616,0.003017300495699367,108,3
239,79.66666666666667,602,0.0029487254844334726,108,3
240,80.0,588,0.0028801504731675778,108,3
241,80.33333333333333,574,0.002811575461901683,108,3
242,80.66666666666667,560,0.0027430004506357884,108,3
