setting_id,w_C_ACC,w_residual,w_B_neighbor,w_external,drug,score,rank,median_rank,q1_rank,q3_rank,minimum_rank,maximum_rank,top10_rate,top20_rate
1,0.0,0.1,0.3,0.6,Cisplatin,0.667,4,70.0,42.5,87.0,3,103,0.07881773399014778,0.14285714285714285
1,0.0,0.1,0.3,0.6,Fludarabine,0.3998,99,91.0,80.0,100.0,63,103,0.0,0.0
1,0.0,0.1,0.3,0.6,Vinblastine,0.5683,22,82.0,56.0,95.0,13,104,0.0,0.04926108374384237
1,0.0,0.1,0.3,0.6,Mitoxantrone,0.48729999999999996,63,86.0,80.0,91.0,51,96,0.0,0.0
1,0.0,0.1,0.3,0.6,Vinorelbine,0.4148,94,94.0,83.0,97.0,46,100,0.0,0.0
1,0.0,0.1,0.3,0.6,Clofarabine,0.3997,100,95.0,87.5,98.0,57,101,0.0,0.0
1,0.0,0.1,0.3,0.6,Neratinib,0.5559000000000001,28,84.0,55.5,98.5,3,108,0.024630541871921183,0.07389162561576355
1,0.0,0.1,0.3,0.6,Valrubicin,0.4653,73,95.0,81.5,100.5,66,104,0.0,0.0
1,0.0,0.1,0.3,0.6,Teniposide,0.5206,46,93.0,76.5,101.5,26,107,0.0,0.0
1,0.0,0.1,0.3,0.6,Idelalisib,0.4508,79,98.0,91.0,101.0,74,104,0.0,0.0
1,0.0,0.1,0.3,0.6,umbralisib,0.4071,97,99.0,97.0,101.0,79,103,0.0,0.0
1,0.0,0.1,0.3,0.6,Cladribine,0.3767,104,101.0,96.0,103.0,63,108,0.0,0.0
1,0.0,0.1,0.3,0.6,Fruquintinib,0.3558,107,103.0,99.0,104.0,78,107,0.0,0.0
1,0.0,0.1,0.3,0.6,Abiraterone,0.3634,106,106.0,103.0,107.0,79,108,0.0,0.0
1,0.0,0.1,0.3,0.6,Bleomycin,0.37229999999999996,105,105.0,105.0,106.0,96,108,0.0,0.0
1,0.0,0.1,0.3,0.6,Zoledronate,0.3429,108,107.0,107.0,108.0,91,108,0.0,0.0
1,0.0,0.1,0.3,0.6,Lenvatinib,0.3769,103,106.0,106.0,107.0,86,108,0.0,0.0
2,0.0,0.1,0.4,0.5,Actinomycin D,0.6846000000000001,4,2.0,1.0,5.0,1,30,0.9408866995073891,0.9802955665024631
2,0.0,0.1,0.4,0.5,Crizotinib,0.612,16,6.0,3.0,12.0,1,37,0.7044334975369458,0.8916256157635468
2,0.0,0.1,0.4,0.5,Mitotane,0.8097000000000001,1,2.0,1.0,13.0,1,51,0.7093596059113301,0.8866995073891626
2,0.0,0.1,0.4,0.5,Mitomycin,0.5164,48,11.0,4.0,22.0,1,55,0.47783251231527096,0.7241379310344828
2,0.0,0.1,0.4,0.5,Irinotecan,0.4593,70,17.0,5.0,37.5,1,89,0.3891625615763547,0.5467980295566502
2,0.0,0.1,0.4,0.5,Daunorubicin,0.479,64,16.0,6.0,30.0,2,69,0.3694581280788177,0.5911330049261084
2,0.0,0.1,0.4,0.5,Homoharringtonine,0.6084,18,12.0,7.0,23.5,3,50,0.45320197044334976,0.7093596059113301
2,0.0,0.1,0.4,0.5,Ibrutinib,0.5806,26,16.0,12.0,23.0,5,40,0.17733990147783252,0.6995073891625616
2,0.0,0.1,0.4,0.5,Romidepsin,0.6016,20,17.0,10.0,26.0,5,51,0.2561576354679803,0.6305418719211823
2,0.0,0.1,0.4,0.5,Cytarabine,0.4157,91,24.0,9.5,51.0,1,95,0.270935960591133,0.4187192118226601
2,0.0,0.1,0.4,0.5,Docetaxel,0.4562,73,26.0,15.0,42.0,7,79,0.15270935960591134,0.3793103448275862
2,0.0,0.1,0.4,0.5,Cobimetinib,0.6316999999999999,13,18.0,7.0,33.0,4,72,0.3448275862068966,0.5369458128078818
2,0.0,0.1,0.4,0.5,Palbociclib,0.6405000000000001,11,13.0,6.0,21.0,3,35,0.45320197044334976,0.7241379310344828
2,0.0,0.1,0.4,0.5,Brigatinib,0.43310000000000004,81,31.0,15.0,55.0,5,97,0.12807881773399016,0.3399014778325123
2,0.0,0.1,0.4,0.5,Axitinib,0.5251,45,26.0,15.0,47.5,8,72,0.09852216748768473,0.39408866995073893
2,0.0,0.1,0.4,0.5,Ribociclib,0.7073,3,13.0,4.5,35.0,1,70,0.458128078817734,0.5911330049261084
2,0.0,0.1,0.4,0.5,Belinostat,0.4258,83,32.0,17.0,53.0,6,91,0.09359605911330049,0.32019704433497537
2,0.0,0.1,0.4,0.5,Ixazomib,0.4138,92,32.0,14.0,56.0,3,96,0.17733990147783252,0.3497536945812808
2,0.0,0.1,0.4,0.5,Olaparib,0.47690000000000005,65,32.0,18.0,55.0,7,85,0.06403940886699508,0.3054187192118227
2,0.0,0.1,0.4,0.5,Celecoxib,0.4555,74,36.0,16.0,66.0,3,98,0.14285714285714285,0.33004926108374383
2,0.0,0.1,0.4,0.5,Ceritinib,0.5425,37,24.0,17.0,32.0,8,41,0.04433497536945813,0.35960591133004927
2,0.0,0.1,0.4,0.5,Abemaciclib,0.45740000000000003,71,30.0,15.5,48.0,5,80,0.1330049261083744,0.35960591133004927
2,0.0,0.1,0.4,0.5,Bosutinib,0.5693,30,27.0,23.0,35.0,16,53,0.0,0.13793103448275862
2,0.0,0.1,0.4,0.5,Tucatinib,0.612,17,25.0,16.0,36.0,8,61,0.024630541871921183,0.39408866995073893
2,0.0,0.1,0.4,0.5,Idarubicin,0.5266,42,30.0,23.0,37.0,12,45,0.0,0.13793103448275862
2,0.0,0.1,0.4,0.5,Osimertinib,0.5374,40,34.0,22.0,50.0,8,92,0.03940886699507389,0.23645320197044334
2,0.0,0.1,0.4,0.5,Fluorouracil,0.42360000000000003,84,39.0,19.0,59.0,5,88,0.06403940886699508,0.27586206896551724
2,0.0,0.1,0.4,0.5,Lapatinib,0.5714,28,32.0,26.0,35.0,17,52,0.0,0.03940886699507389
2,0.0,0.1,0.4,0.5,Paclitaxel,0.4662,69,37.0,22.0,50.0,13,71,0.0,0.1921182266009852
2,0.0,0.1,0.4,0.5,Tivozanib,0.5381666666666667,38,34.0,28.0,46.0,12,65,0.0,0.08866995073891626
2,0.0,0.1,0.4,0.5,Chlorambucil,0.5056,52,43.0,20.0,72.0,2,96,0.09359605911330049,0.26108374384236455
2,0.0,0.1,0.4,0.5,Nilotinib,0.4838,61,39.0,32.0,45.0,20,65,0.0,0.0049261083743842365
2,0.0,0.1,0.4,0.5,Melphalan,0.5261,43,43.0,19.5,71.0,4,93,0.07881773399014778,0.26108374384236455
2,0.0,0.1,0.4,0.5,Carmustine,0.5768,27,37.0,27.0,48.5,16,71,0.0,0.07389162561576355
2,0.0,0.1,0.4,0.5,Mercaptopurine,0.4163,90,45.0,24.5,64.5,9,92,0.009852216748768473,0.1724137931034483
2,0.0,0.1,0.4,0.5,Carfilzomib,0.6696,6,30.0,10.5,56.0,2,94,0.2512315270935961,0.39408866995073893
2,0.0,0.1,0.4,0.5,Binimetinib,0.6436,9,36.0,9.0,73.5,1,107,0.26108374384236455,0.3793103448275862
2,0.0,0.1,0.4,0.5,Doxorubicin,0.6543,8,23.0,8.0,40.0,3,55,0.2857142857142857,0.45320197044334976
2,0.0,0.1,0.4,0.5,Etoposide,0.6367,12,24.0,6.5,44.0,1,61,0.33004926108374383,0.46798029556650245
2,0.0,0.1,0.4,0.5,Tamoxifen,0.5823,24,35.0,21.5,43.0,6,59,0.054187192118226604,0.2413793103448276
2,0.0,0.1,0.4,0.5,Afatinib,0.4533,75,56.0,30.5,85.0,6,108,0.024630541871921183,0.15763546798029557
2,0.0,0.1,0.4,0.5,Acalabrutinib,0.5705,29,38.0,29.0,43.5,21,52,0.0,0.0
2,0.0,0.1,0.4,0.5,Ixabepilone,0.5472,33,32.0,13.0,52.5,1,76,0.21674876847290642,0.33497536945812806
2,0.0,0.1,0.4,0.5,Panobinostat,0.4801,62,48.0,41.0,60.5,32,77,0.0,0.0
2,0.0,0.1,0.4,0.5,Trametinib,0.6605000000000001,7,41.0,14.5,77.0,3,106,0.2019704433497537,0.3448275862068966
2,0.0,0.1,0.4,0.5,Vandetanib,0.5211,47,50.0,29.0,79.5,12,97,0.0,0.10837438423645321
2,0.0,0.1,0.4,0.5,Epirubicin,0.4981,56,41.0,25.0,56.0,9,70,0.009852216748768473,0.15270935960591134
2,0.0,0.1,0.4,0.5,Erlotinib,0.4458,77,48.0,32.0,69.0,2,108,0.07881773399014778,0.14285714285714285
2,0.0,0.1,0.4,0.5,Selumetinib,0.6285000000000001,14,42.0,18.5,52.0,4,70,0.07389162561576355,0.26108374384236455
2,0.0,0.1,0.4,0.5,Selinexor,0.546,34,47.0,40.0,60.0,30,76,0.0,0.0
