Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
2106,NCGC00345496-08,Lomeguatrib,0.8429148528029118,0.7567640003359705,0.9737183571041478,0.7982622009686171,515.82,615.729,551.562,,,,0,MGMT Inhibitor,MGMT
2107,NCGC00015889-21,Raloxifene hydrochloride,0.8449180912800576,0.8424462863588942,0.8272978837058551,0.8650101037754233,522.702,601.036,557.34,,,,0,Selective Estrogen Receptor Modulators (SERM),ESR1
2108,NCGC00507890-02,MX-69,0.8450121444926981,0.8768461928223268,0.8152099483466961,0.8429802923090713,525.465,599.823,555.433,,,,0,MDM2 (hdm2) Inhibitor,MDM2
2109,NCGC00179244-11,Dorzolamide hydrochloride,0.8451438506843327,0.7287385969884537,0.9354216253768187,0.8712713296877257,513.569,611.886,557.882,,,,0,Carbonic Anhydrase Type II Inhibitor,CA2
2110,NCGC00262641-04,S31-201,0.8465174958487239,1.0966420483074628,0.7062092583561896,0.7367011808825193,543.119,588.885,546.233,,,,0,STAT-3 Inhibitor,STAT3
2111,NCGC00370919-02,Prinaberel,0.8467910691324443,1.0654418436033875,0.6914904780384007,0.7834408857555446,540.613,587.408,550.279,0.038599,46.1,0.038899,3,Selective Estrogen Receptor beta Agonist,ESR2
2112,NCGC00347945-09,ID-8,0.8468675371097394,0.7998541473753968,0.9682473954288142,0.7725010685250072,519.281,615.18,549.332,0.027354,,20.73069,2,DYRK Inhibitor,DYRK1A
2113,NCGC00386692-01,UNC-569,0.8471815854924171,0.8426081389770721,0.9232240714777171,0.7757125460224619,522.715,610.662,549.61,,,,0,Mer Receptor Inhibitor,MERTK
2114,NCGC00346578-08,OSI-420,0.849496818623395,0.9103123341808882,0.9654870012866161,0.6726911204026808,528.153,614.903,540.692,0.013961,46.1,46.1,3,EGFR Inhibitor,EGFR
2115,NCGC00094763-03,Polymyxin B sulphate,0.850736181694511,0.6183053105857604,1.1221019988995988,0.8118012355981737,504.699,630.619,552.734,,,,0,Peptide Antibiotic,
2116,NCGC00015754-17,Nilutamide,0.8511821203161413,0.6973640894648024,1.152346750602029,0.7038355208815923,511.049,633.654,543.388,,,,0,Androgen Receptor Antagonist,AR
2117,NCGC00346639-03,Dimethyl fumarate,0.8513753223390804,0.8717540604504326,0.8977527089237092,0.7846191976430996,525.056,608.106,550.381,,,,0,NFkappaB-inducing kinase Inhibitor,NFKB1
2118,NCGC00241101-10,Neratinib,0.8567065352152934,1.3342167913893348,0.5417017258673171,0.6942010883892281,562.201,572.377,542.554,0.002144,,2.379299,2,EGFR Inhibitor,EGFR
2119,NCGC00253646-08,Agomelatine,0.8572519373905576,0.7482107119753558,0.7057408882309788,1.1178042119653382,515.133,588.838,579.223,,,,0,5-HT2C Antagonist,HTR2C
2120,NCGC00161408-07,Anagrelide,0.8576691648172331,0.8023939884606456,1.07973941587257,0.6908740901184838,519.485,626.368,542.266,,,,0,Phosphodiesterase III (PDE3) Inhibitor,PDE3A
2121,NCGC00263606-06,Tubastatin A,0.8599812836401799,1.2211938630958001,0.7690605430307305,0.5896894447940092,553.123,595.192,533.507,0.001144,24.190868,,2,HDAC Inhibitor,HDAC6
2122,NCGC00263214-02,HC-067047,0.8601745911477848,1.4723642261045875,0.9192578733961461,0.188901673942621,573.297,610.264,498.813,0.001905,46.1,,2,TRPV4 Antagonist,TRPV4
2123,NCGC00263101-07,CP-724714,0.8610637561381187,0.8359348310275964,0.9445697908011454,0.8026866465856143,522.179,612.804,551.945,,0.005773,29.373222,2,HER2 Inhibitor,ERBB2
2124,NCGC00263203-06,Danusertib,0.8617506190105605,1.0497421396401625,0.7687615833763409,0.766748134015178,539.352,595.162,548.834,,46.1,5.987378,2,Aurora-A/B/C Kinase Inhibitor,AURKA
2125,NCGC00163169-05,Pizotifen,0.861941154728701,-0.017165418983562893,1.408236284116038,1.1947525990536279,453.658,659.332,585.884,0.111778,,46.1,2,Antimigraine drugs,CHRM1
2126,NCGC00167768-11,KI-8751,0.8626030691350526,1.1604244300708217,1.0507502947185752,0.37663448261576066,548.242,623.459,515.064,0.014487,3.537347,3.145969,3,VEGFR-2 Inhibitor,FLT1
2127,NCGC00024717-10,L-NAME,0.863159839763554,0.8088680931877481,0.919078497603512,0.8615329284994019,520.005,610.246,557.039,,,,0,Nitric Oxide Synthase Inhibitor,NOS3
2128,NCGC00390577-02,Omaveloxolone,0.863776734055324,0.8374164049939914,0.8796158232240632,0.8742979739479172,522.298,606.286,558.144,,,,0,Nuclear Factor Erythroid 2-Related Factor 2 (NFE2-Related Factor 2; NFE2L2; NRF2) Activator,NRF2
2129,NCGC00253867-11,Prucalopride,0.864145221979688,1.3326978668187444,0.3105361557713413,0.9492016433489785,562.079,549.18,564.628,,,,0,5-HT4 Agonist,HTR4
2130,NCGC00387868-02,MK-8776,0.8645589940830919,0.7540747568339431,0.982378221759637,0.8572240036556957,515.604,616.598,556.666,2.342975,41.03152,0.018597,3,Chk1 Inhibitor,CHEK1
2131,NCGC00498439-01,LY-3177833,0.8655126615474226,0.9047470941558595,0.9594679469115686,0.7323229435748397,527.706,614.299,545.854,0.002259,46.1,17.585735,3,CDK 7 Inhibitor,CDK7
2132,NCGC00485486-02,Nastorazepide,0.8658050600895221,0.7811165942709939,0.9376339268193028,0.8786646591782695,517.776,612.108,558.522,,,,0,CCK2 (CCKB/Gastrin) Receptor Antagonist,CCK2
2133,NCGC00164604-06,Fluvastatin,0.8669750040665727,0.6377151745656698,0.9829562104247904,0.9802536272092577,506.258,616.656,567.316,,18.504045,,1,HMG-CoA Reductase Inhibitor,HMGCR
2134,NCGC00017159-23,Curcumin,0.867386870467245,1.154996142261175,0.7260701447294833,0.7210943244110769,547.806,590.878,544.882,,,,0,NF-kappaB Activation Inhibitor,NFKB1
2135,NCGC00167328-03,Aloxistatin,0.8684550930458351,1.3840051467810344,0.7065281486542058,0.5148319837022654,566.2,588.917,527.027,0.001401,,,1,Calpain Inhibitor,CAPN1
2136,NCGC00346894-04,Valspodar,0.8708757176242784,0.9866320687523101,1.14502223906948,0.4809728450510451,534.283,632.919,524.096,,0.003163,,1,P-Glycoprotein (MDR-1; ABCB1) Inhibitor,ABCBA
2137,NCGC00274061-07,Trilostane,0.8714193457317553,1.4469035642451153,0.7135636658541783,0.45379080709597225,571.252,589.623,521.743,0.001573,46.1,0.002305,3,Estrogen Receptor (ER) beta Modulators,ESR1
2138,NCGC00348107-03,c-FMS Inhibitor,0.8717843096931994,1.078688857891151,0.8201328173223145,0.7165312538661328,541.677,600.317,544.487,0.002527,,,1,CSF1R (c-FMS) Inhibitor,CSF1R
2139,NCGC00371093-04,Marimastat,0.8734350005106273,0.7197620017802978,0.9655966198265588,0.9349463799250254,512.848,614.914,563.394,,,,0,Matrix Metalloproteinase Inhibitor,MMP1
2140,NCGC00263193-02,KI-20227,0.8770592181235274,0.8269831362222378,1.1370599469408995,0.6671345712074448,521.46,632.12,540.211,46.1,46.1,22.582744,3,CSF1R (c-FMS) Inhibitor,CSF1R
2141,NCGC00378857-02,Preladenant,0.8772723703589912,1.2029045172417343,0.878061233021237,0.5508513608140024,551.654,606.13,530.145,0.001272,,0.901358,2,Adenosine A2A Antagonist,ADORA2A
2142,NCGC00378793-02,NBI-74330,0.8792383360447741,0.7583202755107548,0.8776426895050911,1.0017520431184763,515.945,606.088,569.177,0.002757,,,1,Chemokine CXCR3 Receptor Antagonist,CXCR3
2143,NCGC00185916-05,DASA-58,0.8834485379457157,0.7624537423749818,1.1576483018065413,0.7302435696556239,516.277,634.186,545.674,,,,0,PKM2 Activator,PKM2
2144,NCGC00371153-09,RKI-1447,0.8846007336472649,1.1356485292882557,0.6388536482221765,0.8793000234313625,546.252,582.126,558.577,46.1,,46.1,2,ROCK1/ROCK2 Inhibitor,ROCK1
2145,NCGC00092360-02,Cordycepin,0.8847263898775634,1.1846898725960593,0.9382418114498956,0.5312474855867353,550.191,612.169,528.448,,0.173224,,1,Purine Antagonist,HPRT1
2146,NCGC00475723-01,AM-5992,0.88547062364271,0.14802385316874142,1.3967064067784059,1.1116816109809828,466.926,658.175,578.693,,,,0,CDK4 Inhibitor,CDK4
2147,NCGC00351597-13,EPZ-5676,0.8866497652325,1.0975011122039433,0.8019959316226686,0.7604522518708883,543.188,598.497,548.289,0.001647,,0.001537,2,DOT1L Inhibitor,DOT1L
2148,NCGC00262061-03,Ro-31-8425,0.8870561506125374,0.7659148983637009,1.0131810314835954,0.882072521990316,516.555,619.689,558.817,0.000391,0.00931,,2,PKC Inhibitor,PRKCA
2149,NCGC00091104-10,Aspartame,0.8875348623831071,0.7879891054428416,0.9992893728762845,0.8753261088301951,518.328,618.295,558.233,,,,0,Synthetic sugar substitute,
2150,NCGC00346716-20,Dabrafenib,0.8880806680996673,1.078713758293947,0.898639622565066,0.686888623439989,541.679,608.195,541.921,42.472444,,,1,Raf kinase B Inhibitor,BRAF
2151,NCGC00345790-03,Laropiprant,0.8884699362617343,1.0092914352971687,0.9473501155869702,0.7087682579010639,536.103,613.083,543.815,0.001617,0.279879,1.87416,3,prostaglandin D2 DP1 Inhibitor,PTGDR
2152,NCGC00263235-01,ACC1 BMS,0.8889834662008816,1.0490324781604607,0.8705772763396802,0.7473406441025041,539.295,605.379,547.154,,1.854804,31.717341,2,Acetyl-CoA Carboxylase Inhibitor,ACACA
2153,NCGC00185778-06,Nitisinone,0.8894996884417019,1.3669483708653984,0.5827090251277793,0.718841669331928,564.83,576.492,544.687,0.001581,,,1,4-Hydroxyphenylpyruvate Dioxygenase (4HPPD) Inhibitor,HPD
2154,NCGC00346722-06,ADX-47273,0.8895463537626741,0.5358227263221925,1.0537000299752213,1.0791163049906085,498.074,623.755,575.874,,,19.798794,1,mgluR5 Antagonist,GRM5
2155,NCGC00390660-02,LDN-214117,0.8920768249011124,1.1586938520764614,0.6717491755268635,0.8457874471000124,548.103,585.427,555.676,0.00127,,,1,ALK2 Inhibitor,ACVR1
2156,NCGC00346592-02,Icariin,0.8954699814023207,0.6878396853951226,1.0600080786828456,0.9385621801289938,510.284,624.388,563.707,,,,0,Phosphodiesterase V (PDE5) Inhibitor,PDE5A
2157,NCGC00510695-01,Belizatinib,0.8971863611819764,0.11911448552194824,1.0716774705258585,1.5007671274981222,464.604,625.559,612.374,,9.891628,23.0,2,ALK Inhibitor,ALK
2158,NCGC00379246-01,Phortress (NSC-710305),0.9008811372869137,1.249368668860094,0.8074768586198149,0.645797884380832,555.386,599.047,538.364,46.1,,,1,Aryl Hydrocarbon Receptor (AhR) Agonist,AHR
2159,NCGC00509935-01,AG-881,0.9009063245783434,1.140927414681125,0.8765664347492884,0.6852251243046169,546.676,605.98,541.777,0.001606,,0.001762,2,Mutant IDH1 Inhibitor,IDH1
2160,NCGC00522603-01,TAK-242,0.9010877003914436,0.7751653980026194,0.8845386921996815,1.0435590109720299,517.298,606.78,572.796,,40.055068,24.173499,2,,TLR4
2161,NCGC00263140-03,Talmapimod,0.9028239041481777,0.7481484609683644,1.1550373874915367,0.8052858639846321,515.128,633.924,552.17,,,,0,p38 MAPK Inhibitor,MAPK14
2162,NCGC00092290-11,SL-327,0.9041726618721019,0.9738208115134859,0.5556930376927579,1.1830041364100619,533.254,573.781,584.867,0.001455,,25.686005,2,Mek 1/2 Inhibitor,MAP2K1
2163,NCGC00263230-01,FASN MRK,0.9049067401514013,1.0882008117594328,0.7059900212763045,0.9205293874184666,542.441,588.863,562.146,0.002079,,,1,Fatty Acid Synthase (FAS) Inhibitor,FAS
2164,NCGC00346730-07,Ambrisentan,0.9068503577597774,0.9420354473436914,0.6801997684242803,1.0983158575113605,530.701,586.275,577.536,,,,0,Endothelin ETA Receptor Antagonist,EDNRA
2165,NCGC00346596-02,Oxymatrine,0.9076319638169991,1.0065648411909474,0.9121426336216693,0.8041884166383807,535.884,609.55,552.075,,,,0,mu/kappa-Opioid Agonist,OPRM1
2166,NCGC00509910-02,Umbralisib,0.9087638505819708,0.7566519485233858,1.2265385714997552,0.7431010317227714,515.811,641.099,546.787,46.1,,22.353506,2,Casein Kinase 1 Inhibitor,CSNK1E
2167,NCGC00094818-13,Hexestrol,0.9090544693538337,-0.09587559222345364,1.379177405709354,1.4438615945756008,447.336,656.416,607.448,0.165772,,46.1,2,17-betahydroxysteroid dehydrogenase Inhibitor,AKR1C1
2168,NCGC00510492-02,Anlotinib,0.9107491199572789,0.9774811707245783,0.8908766368727453,0.8638895522745131,533.548,607.416,557.243,0.001457,,,1,VEGFR-3 Inhibitor,FLT4
2169,NCGC00346467-01,VCH-916 ,0.9123020116499683,0.7400807304622823,0.9460346931076558,1.0507906113799668,514.48,612.951,573.422,,,,0,,
2170,NCGC00476204-01,PFI-4,0.9147060199098613,1.0157032890172812,0.8371236910134663,0.8912910796988366,536.618,602.022,559.615,0.001673,39.786508,46.1,3,BRPF1 bromodomain Inhibitor,BRPF1
2171,NCGC00022567-15,Cladribine,0.9148879569053123,1.2820753479333618,0.8278459764055703,0.6347425463770049,558.013,601.091,537.407,0.001586,0.001542,,2,Adenosine Deaminase Inhibitor,ADA
2172,NCGC00522632-01,Tussilagone,0.9158115400359329,0.9006883285000218,0.9909085372315581,0.8558377543762189,527.38,617.454,556.546,,,,0,Platelet-Activating Factor Receptor (PAFR) Antagonist,
2173,NCGC00387775-03,D-942,0.9159657258662346,1.0118561767852134,0.978730913976082,0.7573100868374084,536.309,616.232,548.017,0.037102,46.1,0.081986,3,AMPK Activator,PRKAA1
2174,NCGC00521942-01,Milademetan,0.9163790809035968,0.5784024151042911,1.1377575194678093,1.03297730813869,501.494,632.19,571.88,21.777921,31.266158,,2,MDM2 (hdm2) Inhibitor,MDM2
2175,NCGC00345853-03,JNJ-28312141,0.9183015006148154,0.8564154123277575,1.0876120201048332,0.8108770694118554,523.824,627.158,552.654,,46.1,,1,CSF1R (c-FMS) Inhibitor,CSF1R
2176,NCGC00242503-02,Meclinertant,0.9201706190056667,0.7253272418053265,1.0298629801985448,1.0053216350131287,513.295,621.363,569.486,,0.69624,,1,Carboxypeptidase A Inhibitor,CPA1
2177,NCGC00179250-03,Halofantrine,0.9202882077594733,1.0373043884432862,0.9671512100293861,0.7564090248057475,538.353,615.07,547.939,,23.020147,,1,antimalarial agents,
2178,NCGC00250393-01,CAP-232,0.9223210611122543,0.8410394136008899,0.9238020601428706,1.0021217095930026,522.589,610.72,569.209,30.348984,,45.17438,2,Somatostatin srif2B (sst4) Agonist,SSTR4
2179,NCGC00274063-05,Pimobendan,0.92261999010723,0.960349693600553,1.1363324784485513,0.6711777982725856,532.172,632.047,540.561,,,,0,Phosphodiesterase III (PDE3) Inhibitor,PDE3A
2180,NCGC00483118-01,SRT-3025,0.9233882869721176,1.3395828281919901,0.45737517268577876,0.973206860038584,562.632,563.915,566.706,,,,0,SIRT1 Activator,SIRT1
2181,NCGC00162225-11,L-tetramisol,0.9240044799311878,0.6290124837882766,1.072953031717922,1.070047924287365,505.559,625.687,575.089,,,,0,Nicotinic Receptor Agonist,CHRNA3
2182,NCGC00024901-04,BD-1047,0.9268826610586953,1.4792989882834264,0.6315689979768794,0.6697799969157802,573.854,581.395,540.44,0.001624,,0.002142,2,sigma Receptor Antagonist,SIGMAR1
2183,NCGC00346544-09,BIX-02189,0.9273783554471263,0.7239577196515161,1.1832093522568652,0.8749679944329976,513.185,636.751,558.202,46.1,38.671978,16.232062,3,Mek 5 Inhibitor,MAP2K5
2184,NCGC00389618-01,BYL-719,0.928032356294763,0.9430065630527564,1.0793906296091145,0.7616998762224181,530.779,626.333,548.397,,1.356463,,1,PI3K alpha Inhibitor,
2185,NCGC00022858-10,Sodium cromoglycate,0.9289584197906768,0.8991445035266354,1.0526636365066697,0.8350671193387255,527.256,623.651,554.748,,,,0,Mediator Release Inhibitor,
2186,NCGC00188865-05,Pazopanib,0.9290657803160175,0.7593785426296071,1.0155428127532753,1.0122759855651702,516.03,619.926,570.088,0.001467,,12.609154,2,VEGFR-1/2/3 Inhibitor,FLT1
2187,NCGC00351549-05,GSK-J2,0.9291465217276381,1.0316644472098682,1.17256638856059,0.5832087294124563,537.9,635.683,532.946,0.013997,,,1,Inhibitor of H3K27me3/me2-demethylases JMJD3/KDM6B and UTX/KDM6A,KDM6B
2188,NCGC00164632-07,TIBOLONE,0.9305085389498414,1.3058925832082608,0.738257733306772,0.7473753003344915,559.926,592.101,547.157,0.001591,,,1,Steryl-sulfatase  Inhibitor,
2189,NCGC00161410-03,CCT-018159,0.9323122052347066,0.9159896260185015,0.927748327580815,0.9531986621048032,528.609,611.116,564.974,,,39.969033,1,Heat Shock Protein 90 (hsp90) Inhibitor,HSP90AB1
2190,NCGC00022735-16,Methylprednisolone,0.9323523299624805,0.8110842290366409,1.1680720284229302,0.8179007324278704,520.183,635.232,553.262,,0.001541,,1,Glucocorticoid steroid,NRC31
2191,NCGC00092288-05,(-)-Blebbistatin,0.933424470944019,1.020919923403158,0.9795779663301868,0.7997755230987122,537.037,616.317,551.693,,,,0,myosin II ATPase Inhibitor,MYH2
2192,NCGC00346598-02,Shikimic acid,0.9351342241796076,0.7087186731400291,0.9552326851410474,1.1414513142577463,511.961,613.874,581.27,,,,0,plant biochemical intermediate,
2193,NCGC00507893-01,UK-371804,0.9372627653632789,0.8983227902343504,0.907727996058514,1.0057375097969723,527.19,609.107,569.522,,,,0,Urokinase (u-PA) Inhibitor,PLAU
2194,NCGC00510487-01,Navoximod,0.9375561807789403,1.2238706563964281,0.975831005328502,0.612966880611891,553.338,615.941,535.522,0.010024,0.131436,,2,IDO Inhibitor,IDO1
2195,NCGC00165815-06,NSC-724771,0.9390192684855767,1.113151015361575,1.254690605621457,0.4492161844736981,544.445,643.924,521.347,,0.001393,,1,Nitric Oxide (NO) Donors,
2196,NCGC00159349-15,Levonorgestrel,0.9418490491030223,0.7962435889698978,0.9600758315421615,1.0692277267970076,518.991,614.36,575.018,,,,0,Progestogen hormone,PGR
2197,NCGC00250379-21,CT-99021,0.9426122942067838,1.033320323995839,0.9262834252743058,0.8682331333502067,538.033,610.969,557.619,,46.1,,1,GSK-3 Inhibitor,GSK3B
2198,NCGC00160421-04,Tetrabenazine,0.9449405470268857,0.6342166679727547,1.2252032183768142,0.9754017547310883,505.977,640.965,566.896,,7.063414,,1,Vesicular Monoamine Transporter 2 (VMAT2) Inhibitor,SLC18A2
2199,NCGC00386776-01,AGN-194204,0.9449927186046755,0.8719781640756005,1.3157580976914725,0.6472418940469535,525.074,650.052,538.489,0.122408,0.148045,46.1,3,RXR Agonist,RXRA
2200,NCGC00387263-04,Oltipraz,0.9480309827624943,0.8541121250690774,0.9919947573091746,0.9979860659092309,523.639,617.563,568.851,,46.1,,1,Nuclear Factor Erythroid 2-Related Factor 2 (NFE2-Related Factor 2; NFE2L2; NRF2) Activator,NRF2
2201,NCGC00161634-09,Artemisinin,0.951322808084839,1.1448616783229788,0.8560876984235892,0.8530190475079492,546.992,603.925,556.302,0.455841,,,1,antimalarial agents,PfATP6
2202,NCGC00181296-08,Seratrodast,0.9513927923914958,1.1253024119262907,0.9482768905155792,0.7805990747326175,545.421,613.176,550.033,0.001417,0.001082,,2,Prostanoid TP Agonist,TBXA2R
2203,NCGC00510506-01,RG-7845 (GDC-0853),0.9522565324879617,0.9567764857992478,0.9994488180252931,0.9005442936393444,531.885,618.311,560.416,,,,0,BTK Inhibitor,BTK
2204,NCGC00186035-08,IRAK-1-4 Inhibitor I,0.9528590736721856,0.8911016734233507,1.1974697277712572,0.7700058198219489,526.61,638.182,549.116,,0.007454,,1,IRAK Inhibitor,IRAK1
2205,NCGC00168785-05,Diclazuril,0.9529808960878999,0.8606733812059686,1.074667067069757,0.9236022399879743,524.166,625.859,562.412,,,43.58776,1,antiprotozoal agent,
2206,NCGC00178734-10,Sitagliptin,0.9536545659396661,1.2345155785919528,0.7879846891536023,0.8384634300734434,554.193,597.091,555.042,,,,0,DPP-IV Inhibitor,DPP4
2207,NCGC00181796-03,Octreotide,0.9545251816751782,0.07245113068121593,1.2951398468603912,1.4959845674839276,460.856,647.983,611.96,0.070729,,,1,Growth Hormone Release Inhibitor,SSTR1
2208,NCGC00507848-01,GSK-583,0.9559224425881379,0.8815648191522729,1.0811644568918268,0.9050380517203137,525.844,626.511,560.805,,,18.915616,1,RIP2 kinase Inhibitor,RIPK2
2209,NCGC00387310-02,A-196,0.962873820871746,1.5644708160490217,0.9107574538896632,0.4133931926765529,580.695,609.411,518.246,0.001244,,,1,Inhibitor of SUV420H1 and SUV420H2,
2210,NCGC00095099-11,Sildenafil citrate,0.9635008309121382,1.3199488605869114,0.9154909817508347,0.6550626503986685,561.055,609.886,539.166,0.00142,,,1,Phosphodiesterase V (PDE5) Inhibitor,PDE5A
2211,NCGC00379339-01,Brincidofovir,0.9663798558213528,1.1923840970601922,0.9048081567673072,0.801947313636559,550.809,608.814,551.881,0.001258,,0.001105,2,DNA polymerase Inhibitor,
2212,NCGC00345084-02,Robotnikinin,0.967942565911583,0.8811166119019344,1.0183829294699778,1.0043281563628368,525.808,620.211,569.4,,,,0,Hedgehog Antagonist,SHH
2213,NCGC00345847-02,JNJ-38158471,0.9703573332528102,0.6697619929648283,1.2651342628814726,0.9761757439121295,508.832,644.972,566.963,0.001655,,46.1,2,VEGFR-2 Inhibitor,FLT1
2214,NCGC00480730-01,AMG PERK 44,0.9717799313220052,0.9439527783590256,1.1527353981527357,0.8186516174542543,530.855,633.693,553.327,0.002324,0.001653,0.006931,3,PERK Inhibitor,EIF2AK3
2215,NCGC00370984-01,M-475271,0.9733357190922326,0.7218785360180053,1.0651103234510968,1.1330182978075958,513.018,624.9,580.54,,,,0,Src Kinase Inhibitor,SRC
2216,NCGC00015089-14,Amiloride hydrochloride,0.9736864013098516,-0.0002580454847062134,1.3928597925585913,1.5284574568556697,455.016,657.789,614.771,,,,0,Epithelial Sodium Channels (ENaC) Blocker,SCNN1D
2217,NCGC00161825-08,GSK-3965,0.9738479937483268,0.9902799777620046,0.979428486502992,0.9518355169799838,534.576,616.302,564.856,,39.554221,46.1,2,ABCA1 Expression Enhancer,ABCA1
2218,NCGC00159341-17,Lamivudine,0.9742543672466366,0.9843412316950281,0.936288608374549,1.0021332616703327,534.099,611.973,569.21,,,,0,Reverse Transcriptase Inhibitor,
2219,NCGC00347279-01,AIM-100,0.9746442265498836,0.7768461751913863,1.1078017620979546,1.0392847423603098,517.433,629.184,572.426,,46.1,21.715249,2,ACK1 Inhibitor,TNK2
2220,NCGC00165898-11,SD-208,0.9780456799786077,1.22509077613346,0.9405537661105094,0.7684924976918538,553.436,612.401,548.985,0.001259,,,1,TGF-bR1 (ALK5) Inhibitor,TGBR1
2221,NCGC00163683-02,Metenkephalin,0.978159244354183,0.9926081654234821,0.9787707752633342,0.9630987923757327,534.763,616.236,565.831,,,,0,Opioid growth factor,
2222,NCGC00507962-02,GSK2795039,0.9782141736435053,0.7579343192674074,1.1930351595644753,0.983673042098633,515.914,637.737,567.612,,,,0,NADPH Oxidase 2 Inhibitor,
2223,NCGC00371019-02,PF-04418948,0.9782991926872304,1.2591171765549432,0.8749420872937705,0.8008383142129776,556.169,605.817,551.785,0.006961,0.571721,0.697255,3,Prostaglandin EP2 receptor Antagonist,PTGER2
2224,NCGC00475743-01,Motolimod,0.979066057193547,0.5542365741902402,1.2400316172345456,1.1429299801558552,499.553,642.453,581.398,,41.589213,28.978237,2,Toll-Like Receptor 8 (TLR8) Agonist,TLR8
2225,NCGC00159549-16,Zebularine,0.9813610279901623,0.8761863321482182,0.9027752311174574,1.1651215207048116,525.412,608.61,583.319,,,,0,Cytidine Deaminase Inhibitor,CDA
2226,NCGC00024929-02,ICI-D7288,0.9817841979360828,1.4848517781070558,0.8159274515172317,0.6445733641839609,574.3,599.895,538.258,0.002035,,0.001556,2,HCN [I(h)] Blocker,HCN
2227,NCGC00262306-10,ML323,0.9822823658016345,1.056365646784045,0.9552924770719251,0.9351889735489334,539.884,613.88,563.415,46.1,0.002168,0.004159,3,USP1/UAF1 Inhibitor,USP1
2228,NCGC00346507-07,AMG-208,0.9824990367589889,0.8074736706311417,0.9062132671429398,1.2338101725028852,519.893,608.955,589.265,,,,0,HGFR Inhibitor,MET
2229,NCGC00263198-07,Lenvatinib,0.9829493117829593,0.7565025461066057,1.0435354017259695,1.1488099875163027,515.799,622.735,581.907,,,,0,VEGFR-1/2/3 Inhibitor,FLT1
2230,NCGC00179511-08,Racecadotril,0.9835589552089823,1.2602625950835842,0.6418532100878875,1.0485610604554751,556.261,582.427,573.229,,,,0,"Neprilysin (Enkephalinase, Neutral Endopeptidase, NEP) Inhibitor",
2231,NCGC00015615-15,Lansoprazole,0.9844986841743781,0.8774064518852486,1.0530124227701252,1.0230771778677605,525.51,623.686,571.023,,,,0,H+/K+-ATPase Inhibitor,
2232,NCGC00346520-02,Bimatoprost,0.9866716770305133,0.6617067126601448,1.2716615486689822,1.0266467697624129,508.185,645.627,571.332,,,,0,prostaglandin,
2233,NCGC00013841-13,Cyclobenzaprine hydrochloride,0.9904405824353057,0.9480737950218546,1.1313099562548032,0.8919379960292595,531.186,631.543,559.671,,38.453402,,1,5-HT2A Receptor Ligands,HTR2A
2234,NCGC00261977-03,Nimorazole,0.9917739112605868,1.1190150602201623,0.9293427790708935,0.9269638944907047,544.916,611.276,562.703,0.010266,,14.394151,2,Radiosensitizers,
2235,NCGC00390563-02,GDC-0834 racemate,0.9922237103608161,0.9081335489361892,0.940902552373965,1.1276350297722941,527.978,612.436,580.074,,,,0,BTK Inhibitor,BTK
2236,NCGC00384474-01,Pralnacasan,0.9964627095755428,1.4109847332110939,0.7580189664619347,0.8203844290536,568.367,594.084,553.477,0.001388,,1.008099,2,Caspase-1 Inhibitor,CASP1
2237,NCGC00163532-06,Daidzin,0.9978111179652247,1.1899438575861314,0.7254821907425159,1.078007305567027,550.613,590.819,575.778,0.001261,,,1,Alcohol Dehydrogenase Inhibitor,ADH1
2238,NCGC00345800-03,CVT-6883,0.9978218309235753,0.667919363157884,1.1484104484858975,1.1771356811269444,508.684,633.259,584.359,,,,0,Adenosine A2B Antagonist,ADORA2B
2239,NCGC00016543-13,Phenformin hydrochloride,0.9985459348117254,0.8670727847246803,1.0780054498771083,1.0505595698333874,524.68,626.194,573.402,45.683616,,2.828484,2,antidiabetic drug,
2240,NCGC00015919-17,Sotalol,1.0000138057610135,0.9310917203146079,1.059111199719676,1.0098384972487566,529.822,624.298,569.877,,,,0,beta-Adrenoceptor Antagonist,ADRB1
2241,NCGC00179492-08,FLUNISOLIDE,1.0003754609189675,0.7480737597599737,1.0325735477316782,1.2204790752652503,515.122,621.635,588.111,,,,0,,
2242,NCGC00510354-01,RUSKI-201,1.000460317167908,0.9429069614415697,1.0400176431259827,1.0184563469361716,530.771,622.382,570.623,,,,0,Protein-Cysteine N-Palmitoyltransferase HHAT Inhibitor,HHAT
2243,NCGC00480775-01,INCB8761 (PF-4136309),1.001150829676376,1.2295479482340415,0.8797254417640069,0.8941790990310798,553.794,606.297,559.865,0.001608,,,1,Chemokine CCR2 (MCP-1 Receptor) Antagonist,CCR2
2244,NCGC00015437-22,Fenofibrate,1.001406987440839,1.713425025577976,0.8935872044058785,0.3972087323386623,592.659,607.688,516.845,0.001784,,,1,PPARalpha Agonist,PPARA
2245,NCGC00025330-09,SB-408124,1.005214308487946,0.015292256061738091,1.4869224651514226,1.5134282042506768,456.265,667.228,613.47,0.082422,,,1,Orexin OX-1 Antagonist,HCRTR1
