Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
89,NCGC00181306-04,Docetaxel,-2.064685829028685,-1.9038689388780647,-1.835824752276317,-2.4543637959316738,302.118,333.797,270.0,,,,0,Tubulin depolymerization Inhibitor,TUBB
90,NCGC00507840-01,LTX-315,-2.0239125066934487,-1.9232912530593729,-2.1590997918897776,-1.9893464751311953,300.558,301.357,310.254,,,,0,Microenvironment modifier,
91,NCGC00015254-30,Clozapine,-2.000941076188092,-1.4753952577564513,-1.196180641065799,-3.331247329742026,336.533,397.984,194.093,0.015852,,0.742855,2,Dopamine D4 Antagonist,DRD4
92,NCGC00346940-03,CGP-60474,-1.9996987842533234,-2.2451787600103588,-2.0984608086577214,-1.6554567840918897,274.704,307.442,339.157,,,,0,CDK1/2 Inhibitor,CDK1
93,NCGC00346545-08,Telaprevir (VX-950),-1.9969111275381202,-1.5212867001104913,-2.1849099753854273,-2.2845367071184417,332.847,298.767,284.701,0.001323,,,1,HCV NS3 NS4A Protease Inhibitor,
94,NCGC00014891-14,RG-108,-1.9958742517298906,-1.6401861234640112,-1.7968902399529572,-2.5505463917727034,323.297,337.704,261.674,0.016078,,0.121263,2,DNA Methyltransferase (DNMT) Inhibitor,DNMT1
95,NCGC00510502-02,SF-2523,-1.9849197056931627,-2.017265373213548,-2.412737162674051,-1.524756581191889,293.01,275.905,350.471,,,,0,PI3K beta Inhibitor,PIK3CB
96,NCGC00249613-10,Carfilzomib,-1.97830477162291,-1.9017648548417567,-2.608595597586596,-1.4245538624403775,302.287,256.251,359.145,,,,0,Proteasome Inhibitor,PSMD1
97,NCGC00346458-02,MLN 2480,-1.9693042875254512,-1.9967972421147848,-2.009530276798581,-1.9015853436629877,294.654,316.366,317.851,,,,0,,BRAF
98,NCGC00346460-05,BMS-536924,-1.9587993577805052,-1.4107413618952125,-2.3977792146327497,-2.0678774968135536,341.726,277.406,303.456,0.004372,,,1,IGF-1R Inhibitor,IGFR1
99,NCGC00379003-05,WEHI-539,-1.9581607552561138,-2.3529975041194153,-1.8916504850726985,-1.6298342765762273,266.044,328.195,341.375,,,,0,Bcl-xl Inhibitor,BCL2L1
100,NCGC00384198-02,PX-478,-1.9557375897704903,-1.6317697873187778,-2.6575352930101994,-1.5779076889824937,323.973,251.34,345.87,,,,0,HIF-1alpha Inhibitor,HIF1A
101,NCGC00387472-01,R-268712,-1.9509099341582923,-2.1337868080999978,-1.7022296480513464,-2.0167133463235327,283.651,347.203,307.885,,0.005757,,1,TGF-bR1 (ALK5) Inhibitor,TGBR1
102,NCGC00346469-03,Delanzomib,-1.9386326090193384,-1.9319192426283769,-2.2039736360136812,-1.6800049484159572,299.865,296.854,337.032,,,,0,Proteasome Inhibitor,PSMD1
103,NCGC00263147-03,A-674563,-1.9335559178183654,-1.8697802874495895,-1.7532421304120522,-2.177645335593455,304.856,342.084,293.954,,,,0,AKT Inhibitor,AKT1
104,NCGC00181159-03,Trabectedin,-1.9311111260109879,-2.122270371806594,-1.7312287345271529,-1.939834271699217,284.576,344.293,314.54,,,,0,DNA-Damaging Drug,H2AFX
105,NCGC00498432-01,Olmutinib,-1.9268381961774106,-2.220539811443174,-1.8756262475974073,-1.6843485294916507,276.683,329.803,336.656,,,,0,Jak3 Inhibitor,JAK3
106,NCGC00091032-09,Cyproterone acetate,-1.874307686948411,-1.622344984860284,-1.9347106406266366,-2.0658674353583124,324.73,323.874,303.63,,,,0,Androgen Receptor Antagonist,AR
107,NCGC00371131-09,NMS-873,-1.873939198110917,-2.293273888011893,-1.9325581311150308,-1.3959855752058272,270.841,324.09,361.618,,,,0,p97 ATPase Inhibitor,VCP
108,NCGC00090757-12,Melphalan,-1.865877368126359,-2.336637939482083,-2.1399364780433947,-1.1210576868535995,267.358,303.28,385.417,,,,0,DNA Alkylating Agent,
109,NCGC00484799-01,OTS964,-1.8538161223304226,-1.79438186778164,-1.7153041502699915,-2.0517623489396364,310.912,345.891,304.851,,,,0,PDZ-binding kinase Inhibitor,
