drugA,drugB,published_Bindex,recovered_BACC_lambda0,abs_diff
Zanubrutinib,Pralsetinib,0.323574730354391,0.323575,2.696456090078847e-07
Celecoxib,Etoposide,0.321428571428571,0.321429,4.285714290119813e-07
Celecoxib,Hydroxyurea,0.321428571428571,0.321429,4.285714290119813e-07
Estramustine,Talazoparib,0.321428571428571,0.321429,4.285714290119813e-07
Talazoparib,Etoposide,0.321428571428571,0.321429,4.285714290119813e-07
Topotecan,Etoposide,0.321428571428571,0.321429,4.285714290119813e-07
Hydroxyurea,Pemetrexed,0.321428571428571,0.321429,4.285714290119813e-07
Hydroxyurea,Pralatrexate,0.321428571428571,0.321429,4.285714290119813e-07
Hydroxyurea,Talazoparib,0.321428571428571,0.321429,4.285714290119813e-07
Irinotecan,Methotrexate,0.319865319865319,0.319865,3.1986531900951576e-07
Vemurafenib,Cobimetinib,0.31974921630094,0.319749,2.1630093999247535e-07
Cisplatin,Arsenic trioxide,0.318181818181818,0.318182,1.8181818201012945e-07
Pemigatinib,Selpercatinib,0.317567567567567,0.317568,4.3243243302848455e-07
Tamoxifen,Nilotinib,0.317460317460317,0.31746,3.174603169786572e-07
Vemurafenib,Dabrafenib,0.317045454545454,0.317045,4.545454539983673e-07
Carmustine,Tamoxifen,0.315134099616858,0.315134,9.961685798476339e-08
Ribociclib,Avapritinib,0.3125,0.3125,0.0
Celecoxib,Teniposide,0.3125,0.3125,0.0
Fedratinib,Ribociclib,0.3125,0.3125,0.0
Talazoparib,Teniposide,0.3125,0.3125,0.0
Teniposide,Topotecan,0.3125,0.3125,0.0
Mercaptopurine,Dacarbazine,0.311111111111111,0.311111,1.1111111097861226e-07
Lenvatinib,Erdafitinib,0.311111111111111,0.311111,1.1111111097861226e-07
Chlorambucil,Etoposide,0.309523809523809,0.309524,1.9047619104206603e-07
Mitoxantrone,Etoposide,0.309523809523809,0.309524,1.9047619104206603e-07
Hydroxyurea,Trifluridine,0.309523809523809,0.309524,1.9047619104206603e-07
Cyclophosphamide,Carboplatin,0.308035714285714,0.308036,2.857142859524764e-07
Hydroxyurea,Cyclophosphamide,0.308035714285714,0.308036,2.857142859524764e-07
Irinotecan,Oxaliplatin,0.307917888563049,0.307918,1.1143695100024331e-07
