drug,observed_C_ACC_pct,null_mean_C_ACC_pct,null_sd_C_ACC_pct,z_degree_matched,empirical_p_upper,q_bh_108,null_draws,monte_carlo_se
Lorlatinib,0.401869158879,0.581554205607,0.147027803861,-1.22211610328,0.886511348865,1,10000,0.00317173323763
Mitotane,0.570093457944,0.73524953271,0.12717048597,-1.29869814923,0.89101089891,1,10000,0.00311609959496
Dasatinib,0.345794392523,0.688701869159,0.228995787103,-1.49744011003,0.899610038996,1,10000,0.00300504220361
Erdafitinib,0.728971962617,0.871485981308,0.1128712699,-1.26262439342,0.901409859014,1,10000,0.00298096023057
Carfilzomib,0.130841121495,0.307892523364,0.207772804642,-0.852139442284,0.90600939906,1,10000,0.00291801050529
Trametinib,0.018691588785,0.184044859813,0.305023871743,-0.542099443178,0.907609239076,1,10000,0.00289562296557
Celecoxib,0.542056074766,0.728528037383,0.134026319746,-1.39130853529,0.911908809119,1,10000,0.00283413303605
Asciminib,0.420560747664,0.616886915888,0.152485012483,-1.28751124473,0.9200079992,1,10000,0.00271267252015
Clofarabine,0.457943925234,0.67375046729,0.130270113706,-1.65660822668,0.943105689431,1,10000,0.00231628976589
Dexrazoxane,0.0747663551402,0.29568317757,0.264096437424,-0.836500577535,0.9500049995,1,10000,0.00217923728285
Decitabine,0.635514018692,0.802878504673,0.0793131148502,-2.11017416599,0.959104089591,1,10000,0.00198039170291
Melphalan,0.205607476636,0.508397196262,0.198191594749,-1.52776266829,0.97200279972,1,10000,0.00164956466963
Thiotepa,0.336448598131,0.588514953271,0.139604390383,-1.80557613158,0.977202279772,1,10000,0.00149250650266
Cladribine,0.411214953271,0.679543925234,0.139676119533,-1.92107980133,0.977502249775,1,10000,0.00148288241339
Romidepsin,0.551401869159,0.819495327103,0.0963598241397,-2.78221198863,0.977602239776,1,10000,0.00147965912189
Mitoxantrone,0.224299065421,0.483011214953,0.185634028935,-1.39366769669,0.978502149785,1,10000,0.00145029615225
Carboplatin,0.214953271028,0.489914018692,0.192962605102,-1.42494317755,0.978902109789,1,10000,0.00143703528729
Bleomycin,0.11214953271,0.463054205607,0.260584941293,-1.3466038028,0.986401359864,1,10000,0.00115811812372
Sirolimus,0.439252336449,0.723771028037,0.116821619636,-2.43549689241,0.986701329867,1,10000,0.00114544766163
Vinblastine,0.102803738318,0.381587850467,0.219050608316,-1.2726927092,0.987601239876,1,10000,0.00110651735146
Valrubicin,0.0467289719626,0.259830841121,0.235646830975,-0.904327328642,0.9900009999,1,10000,0.00099488845073
Teniposide,0.177570093458,0.461014953271,0.200077470699,-1.41667554484,0.990600939906,1,10000,0.000964872363821
Everolimus,0.140186915888,0.454910280374,0.227985428376,-1.38045385939,0.992100789921,1,10000,0.000885213474605
Darolutamide,0.14953271028,0.514438317757,0.215457764864,-1.69362941134,0.993700629937,1,10000,0.000791142344562
Olaparib,0.672897196262,0.863778504673,0.0514946532518,-3.70681801619,0.996300369963,1,10000,0.000607089302917
umbralisib,0.252336448598,0.671256074766,0.170087266558,-2.46296877271,0.997100289971,1,10000,0.000537681374932
Zoledronate,0.0373831775701,0.389972897196,0.30047910559,-1.1734250837,0.997600239976,1,10000,0.000489260850635
Estramustine,0.18691588785,0.536620560748,0.189422773509,-1.84615960594,0.997800219978,1,10000,0.000468478549957
Lenvatinib,0.0280373831776,0.333644859813,0.285553824454,-1.07022722325,0.998300169983,1,10000,0.000411918792703
Binimetinib,0.00934579439252,0.210426168224,0.278468563427,-0.722093622911,0.999500049995,1,10000,0.000223528541798
Dacarbazine,0.0841121495327,0.510297196262,0.23125262491,-1.84294144507,0.999500049995,1,10000,0.000223528541798
Imatinib,0.308411214953,0.769660747664,0.137992101258,-3.34257923827,0.999700029997,1,10000,0.000173161784466
Ribociclib,0.271028037383,0.69316728972,0.154184079548,-2.7378913152,0.999800019998,1,10000,0.000141393075501
Sunitinib,0.514018691589,0.917789719626,0.0561251286454,-7.19412209438,0.999800019998,1,10000,0.000141393075501
Abiraterone,0,0.276728971963,0.347779698275,-0.795701915135,1,1,10000,0
Azacitidine,0.663551401869,0.928286915888,0.0504126363791,-5.2513721367,1,1,10000,0
Venetoclax,0.317757009346,0.824960747664,0.120407809307,-4.21238241304,1,1,10000,0
Vorinostat,0.0934579439252,0.550652336449,0.217692787638,-2.10018162514,1,1,10000,0
