drugA,drugB,B_ACC
Cyclophosphamide,Teniposide,0.274842
Ceritinib,Tamoxifen,0.274424
Paclitaxel,Pipobroman,0.273847
Crizotinib,Darolutamide,0.273345
Dasatinib,Lorlatinib,0.272730
Dasatinib,Zanubrutinib,0.272641
Etoposide,Idarubicin,0.272249
Fedratinib,Trilaciclib,0.272051
Trametinib,Vemurafenib,0.271444
Nilotinib,Vinblastine,0.271383
Ceritinib,Ixabepilone,0.271309
Carboplatin,Carmustine,0.270678
Dacarbazine,Nilotinib,0.270114
Celecoxib,Cyclophosphamide,0.269929
Ixabepilone,Paclitaxel,0.269699
Erlotinib,Ibrutinib,0.269392
Crizotinib,Ribociclib,0.268226
Talazoparib,Trilaciclib,0.268077
Methotrexate,Topotecan,0.267378
Hydroxyurea,Irinotecan,0.266986
Cytarabine,Mitoxantrone,0.266239
Oxaliplatin,Topotecan,0.265175
Fedratinib,Oxaliplatin,0.264433
Daunorubicin,Dexrazoxane,0.263618
Docetaxel,Pipobroman,0.263571
Chlorambucil,Cytarabine,0.263497
Celecoxib,Trilaciclib,0.262649
Dasatinib,Everolimus,0.262399
Thiotepa,Uracil mustard,0.262113
Cyclophosphamide,Fulvestrant,0.262085
Carmustine,Epirubicin,0.262077
Fluorouracil,Pipobroman,0.261964
Tioguanine,Trifluridine,0.261854
Ribociclib,Sunitinib,0.261722
Imatinib,Selinexor,0.261125
Selpercatinib,Sirolimus,0.261025
Lenvatinib,Zoledronate,0.260407
Idarubicin,Irinotecan,0.260099
Etoposide,Mitomycin,0.259822
Asciminib,Imatinib,0.259677
Abiraterone,Lorlatinib,0.259583
Melphalan,Valrubicin,0.259363
Fluorouracil,Methotrexate,0.259152
Encorafenib,Ixazomib,0.258886
Actinomycin D,Paclitaxel,0.258675
Hydroxyurea,Teniposide,0.258133
Daunorubicin,Hydroxyurea,0.256889
Chlorambucil,Valrubicin,0.256254
Arsenic trioxide,Ifosfamide,0.256232
Pralsetinib,Sirolimus,0.256106
Nilotinib,Vorinostat,0.255575
Fluorouracil,Hydroxyurea,0.255404
