rank,drug,n_targets,ADRS,ADRS_equalw,C_ACC,P_C,S_activity,P_A,S_Bneighbor,P_B,activity_known,Primary_MOA
94,Cyclophosphamide,16,0.3804,0.3844,0.1297,0.683,0.2188,0.159,0.4927,0.311,1,Bcl-2 Expression Inhibitor
95,Clofarabine,2,0.3711,0.3493,0.1222,0.642,0.3868,0.299,0.4184,0.107,1,DNA Polymerase Inhibitor
96,Dacarbazine,15,0.3577,0.3690,0.0865,0.276,0.4182,0.355,0.5405,0.475,1,DNA Alkylating Agent
97,Vemurafenib,22,0.3574,0.3982,0.0767,0.195,0.3448,0.262,0.6010,0.738,1,Raf kinase B Inhibitor
98,Estramustine,7,0.3533,0.3455,0.0860,0.268,0.5168,0.449,0.4937,0.320,1,DNA Alkylating Agent
99,Triethylenemelamine,3,0.3508,0.3510,0.0923,0.350,,,0.5006,0.352,0,
100,Gilteritinib,1,0.3463,0.3339,0.0942,0.398,0.4651,0.374,0.4739,0.230,1,
101,Duvelisib,6,0.3426,0.3538,0.0702,0.114,0.5067,0.439,0.5531,0.508,1,PI3Kd/g Inhibitor
102,Sonidegib,4,0.3372,0.4107,0.0840,0.236,0.0840,0.037,0.7457,0.959,1,Smo Receptor Antagonist
103,Darolutamide,8,0.3358,0.3160,0.0780,0.203,0.5975,0.523,0.4726,0.221,1,
104,Valrubicin,11,0.3315,0.3281,0.0619,0.041,0.6084,0.542,0.5179,0.402,1,DNA Topoisomerase II Inhibitor
105,Uracil mustard,5,0.3248,0.3768,0.0661,0.065,,,0.5906,0.689,0,
106,Thiotepa,3,0.3243,0.3545,0.0934,0.374,0.2075,0.140,0.5586,0.549,1,
107,Ifosfamide,17,0.3159,0.3645,0.0682,0.073,,,0.5828,0.656,0,
108,Vinorelbine,1,0.3119,0.2806,0.1023,0.496,0.4073,0.346,0.1332,0.000,1,
109,Carboplatin,7,0.3085,0.3246,0.0844,0.244,0.3541,0.271,0.5351,0.459,1,DNA Alkylating Agent
110,Cisplatin,6,0.2996,0.3596,0.0618,0.033,0.2551,0.178,0.6483,0.869,1,DNA Alkylating Agent
111,Selpercatinib,37,0.2857,0.2648,0.0937,0.390,,,0.4297,0.139,0,
112,Bleomycin,16,0.2466,0.2474,0.0962,0.415,0.2055,0.131,0.4597,0.197,1,
113,Cladribine,3,0.2453,0.2356,0.1165,0.602,0.1247,0.056,0.3141,0.049,1,Adenosine Deaminase Inhibitor
114,Nitrogen mustard,16,0.2157,0.2540,0.0615,0.024,,,0.5475,0.484,0,
115,Idelalisib,9,0.2090,0.2309,0.0589,0.008,0.3076,0.234,0.5336,0.451,1,PI3Kdelta Inhibitor
116,Pemigatinib,10,0.2064,0.1957,0.0852,0.260,,,0.4289,0.131,0,
117,Fludarabine,4,0.1703,0.1498,0.0696,0.089,0.4033,0.327,0.2332,0.033,1,Purine Antagonist
118,Pralsetinib,59,0.1320,0.1389,0.0696,0.098,,,0.4550,0.180,0,
119,Sotorasib,4,0.1311,0.1264,0.0734,0.154,,,0.4143,0.098,0,
120,umbralisib,5,0.1284,0.1277,0.0803,0.228,0.1268,0.065,0.4093,0.090,1,
121,Abiraterone,39,0.1009,0.0950,0.0594,0.016,0.2560,0.187,0.3615,0.082,1,Androgen Biosynthesis Inhibitor
122,Zoledronate,20,0.0676,0.0706,0.0730,0.146,0.0036,0.000,0.3272,0.066,1,
123,Fruquintinib,31,0.0666,0.0692,0.0699,0.106,0.0593,0.028,0.3598,0.074,1,VEGFR-1/2/3 Inhibitor
124,Lenvatinib,18,0.0615,0.0618,0.0692,0.081,0.1013,0.047,0.3263,0.057,1,VEGFR-1/2/3 Inhibitor
