drugA,drugB,B_ACC
Carboplatin,Carmustine,0.266010
Erdafitinib,Ibrutinib,0.265385
Oxaliplatin,Paclitaxel,0.264516
Lenvatinib,Zoledronate,0.263889
Selpercatinib,Sirolimus,0.263514
Dexrazoxane,Oxaliplatin,0.263441
Abiraterone,Avapritinib,0.262821
Abiraterone,Lorlatinib,0.262821
Dasatinib,Erlotinib,0.261818
Dasatinib,Everolimus,0.261818
Dasatinib,Zanubrutinib,0.261818
Ceritinib,Ixabepilone,0.261364
Fluorouracil,Ixabepilone,0.261364
Irinotecan,Mitomycin,0.261364
Arsenic trioxide,Ifosfamide,0.260695
Ifosfamide,Raloxifene,0.260504
Cytarabine,Nitrogen mustard,0.260417
Mercaptopurine,Methotrexate,0.259259
Belinostat,Crizotinib,0.258824
Pralsetinib,Sirolimus,0.258475
Chlorambucil,Idarubicin,0.257576
Chlorambucil,Irinotecan,0.257576
Chlorambucil,Valrubicin,0.257576
Erlotinib,Neratinib,0.257576
Idarubicin,Mitoxantrone,0.257576
Idarubicin,Trifluridine,0.257576
Irinotecan,Mitoxantrone,0.257576
Melphalan,Valrubicin,0.257576
Paclitaxel,Raloxifene,0.257143
Idarubicin,Methotrexate,0.255892
Arsenic trioxide,Darolutamide,0.255682
Belinostat,Vorinostat,0.255556
Carfilzomib,Ifosfamide,0.254902
Crizotinib,Vinblastine,0.254902
Nilotinib,Vorinostat,0.253968
Dasatinib,Fruquintinib,0.252903
Carmustine,Dacarbazine,0.252874
Erlotinib,Ibrutinib,0.251748
Carmustine,Ixabepilone,0.250784
Actinomycin D,Docetaxel,0.250000
Chlorambucil,Mitomycin,0.250000
Chlorambucil,Pipobroman,0.250000
Chlorambucil,Triethylenemelamine,0.250000
Cisplatin,Selinexor,0.250000
Cisplatin,Thiotepa,0.250000
Cladribine,Trifluridine,0.250000
Melphalan,Pipobroman,0.250000
Melphalan,Triethylenemelamine,0.250000
Mitoxantrone,Pipobroman,0.250000
Mitoxantrone,Thiotepa,0.250000
Methotrexate,Nitrogen mustard,0.248843
Methotrexate,Tioguanine,0.248843
Belinostat,Trilaciclib,0.247619
Idarubicin,Oxaliplatin,0.246334
Ixabepilone,Oxaliplatin,0.246334
Arsenic trioxide,Imatinib,0.245455
Trametinib,Venetoclax,0.245455
Vemurafenib,Venetoclax,0.245455
Bleomycin,Erdafitinib,0.243750
Fluorouracil,Palbociclib,0.243590
Ibrutinib,Neratinib,0.243590
Ixabepilone,Raloxifene,0.243506
Binimetinib,Venetoclax,0.243478
Fluorouracil,Methotrexate,0.240741
Carmustine,Darolutamide,0.239224
Carmustine,Ribociclib,0.239224
Dasatinib,Lenvatinib,0.238889
Belinostat,Palbociclib,0.238462
Ifosfamide,Paclitaxel,0.238235
Carboplatin,Selinexor,0.238095
Cladribine,Hydroxyurea,0.238095
Etoposide,Pipobroman,0.238095
Etoposide,Thiotepa,0.238095
Etoposide,Triethylenemelamine,0.238095
Hydroxyurea,Pipobroman,0.238095
Hydroxyurea,Thiotepa,0.238095
Hydroxyurea,Triethylenemelamine,0.238095
Imatinib,Mercaptopurine,0.237037
Imatinib,Methotrexate,0.237037
Imatinib,Selumetinib,0.237037
Bleomycin,Fruquintinib,0.236895
Carmustine,Docetaxel,0.235632
Crizotinib,Ifosfamide,0.235294
Arsenic trioxide,Carfilzomib,0.234848
Arsenic trioxide,Vinblastine,0.234848
Cobimetinib,Imatinib,0.234483
Pemigatinib,Pralsetinib,0.233898
Dasatinib,Ibrutinib,0.233846
Arsenic trioxide,Raloxifene,0.233766
Etoposide,Idarubicin,0.233766
Etoposide,Irinotecan,0.233766
Hydroxyurea,Irinotecan,0.233766
Hydroxyurea,Valrubicin,0.233766
Dacarbazine,tepotinib,0.233333
Encorafenib,tepotinib,0.233333
Lenvatinib,Pemigatinib,0.233333
Paclitaxel,Tamoxifen,0.233333
Abiraterone,Everolimus,0.233100
Belinostat,Oxaliplatin,0.232258
Oxaliplatin,umbralisib,0.232258
Actinomycin D,Nilotinib,0.232143
Methotrexate,Vorinostat,0.231481
Docetaxel,Oxaliplatin,0.231183
Fluorouracil,Oxaliplatin,0.231183
Bleomycin,Everolimus,0.230114
Irinotecan,Tioguanine,0.230114
Nitrogen mustard,Valrubicin,0.230114
Chlorambucil,Nitrogen mustard,0.229167
Mitoxantrone,Nitrogen mustard,0.229167
