rank_comp,drug,n_assoc,C_ACC,C_ACC_pct,MIPE_potency_pct,NCI60_potency_pct,residual,residual_pct,ADRS_comp
82,Cabozantinib,1,0.0398967843175,0.490654205607,0.280373831776,0.523364485981,-0.229443450363,0.224299065421,0.357476635514
83,Fludarabine,4,0.0253081624671,0.261682242991,0.327102803738,0.14953271028,-0.0256379641879,0.448598130841,0.355140186916
84,Duvelisib,6,0.0219180152522,0.168224299065,0.439252336449,0.308411214953,0.0197540499822,0.504672897196,0.336448598131
85,Vorinostat,18,0.01916133987,0.0934579439252,0.626168224299,0.654205607477,0.0613741621866,0.570093457944,0.331775700935
86,Carboplatin,7,0.023480813727,0.214953271028,0.271028037383,0.0373831775701,-0.0345897762795,0.439252336449,0.327102803738
87,Clofarabine,2,0.039141627454,0.457943925234,0.299065420561,0.700934579439,-0.285363205828,0.18691588785,0.322429906542
88,Dacarbazine,15,0.018756896515,0.0841121495327,0.355140186916,0.0654205607477,0.0377416346873,0.542056074766,0.31308411215
89,Dacomitinib,9,0.0177023447725,0.0560747663551,0.616822429907,0.682242990654,0.0402476292282,0.551401869159,0.303738317757
90,Thiotepa,3,0.031351189545,0.336448598131,0.140186915888,0.0747663551402,-0.181138549196,0.271028037383,0.303738317757
91,Venetoclax,5,0.0283178921587,0.317757009346,0.308411214953,0.542056074766,-0.209259892896,0.242990654206,0.280373831776
92,Dexrazoxane,18,0.0185642922509,0.0747663551402,0.252336448598,0.0280373831776,-0.0493544522092,0.429906542056,0.252336448598
93,Fruquintinib,31,0.0284045628609,0.327102803738,0.0280373831776,0.11214953271,-0.308995733327,0.168224299065,0.247663551402
94,Mitoxantrone,6,0.0235003485855,0.224299065421,0.476635514019,0.878504672897,-0.182404456621,0.261682242991,0.242990654206
95,Vemurafenib,22,0.0270844054908,0.280373831776,0.261682242991,0.560747663551,-0.263842690569,0.205607476636,0.242990654206
96,Cladribine,3,0.0346593562117,0.411214953271,0.0560747663551,0.429906542056,-0.41447338723,0.0654205607477,0.238317757009
97,Valrubicin,11,0.0163143669479,0.0467289719626,0.542056074766,0.738317757009,-0.0580802030438,0.401869158879,0.224299065421
98,umbralisib,5,0.0242790171587,0.252336448598,0.0654205607477,0.205607476636,-0.31088168431,0.14953271028,0.200934579439
