variant,drug,z_A1,z_A2,z_B1,z_B2,z_B2_lo,z_B2_hi,delta_z_acc_A1_minus_A2,delta_z_breast_B2_minus_B1,delta_z_breast_B2_lo_minus_B1,delta_z_breast_B2_hi_minus_B1
column_minmax,Ixazomib,2.36063739909,2.32776068311,-0.535086642089,-0.531336682082,-0.527194909371,-0.535410010521,0.03287671598,0.003749960007,0.007891732718,-0.000323368432
column_minmax,Lapatinib,-0.00364619495873,0.129902248854,1.06100133664,0.995441365185,0.997064650864,0.991975251769,-0.133548443813,-0.065559971455,-0.063936685776,-0.069026084871
column_minmax,Lenvatinib,-1.07022722077,-1.09029881139,-0.848774967806,-0.884819118101,-0.887562261211,-0.883323415227,0.02007159062,-0.036044150295,-0.038787293405,-0.034548447421
column_minmax,Lomustine,0.830132065217,0.93545498436,-0.738337658923,-0.72692019893,-0.729998445141,-0.724614320776,-0.105322919143,0.011417459993,0.008339213782,0.013723338147
column_minmax,Lorlatinib,-1.22211609618,-1.15529384585,0.30045046767,0.235946113263,0.238894474049,0.233259754559,-0.06682225033,-0.064504354407,-0.061555993621,-0.067190713111
column_minmax,Melphalan,-1.52776266091,-1.63058502865,-0.327958436121,-0.316780031353,-0.316383538217,-0.317205330237,0.10282236774,0.011178404768,0.011574897904,0.010753105884
column_minmax,Mercaptopurine,1.29227956186,1.36734435858,-1.48601756023,-1.49008184208,-1.49121189432,-1.48837351455,-0.07506479672,-0.00406428185,-0.00519433409,-0.00235595432
column_minmax,Methotrexate,0.801378278581,0.832212218944,-1.78882579097,-1.8453553478,-1.80419676046,-1.84668140135,-0.030833940363,-0.05652955683,-0.01537096949,-0.05785561038
column_minmax,Mitomycin,0.683118975366,0.713478559944,-0.903218776428,-0.917263638297,-0.913703457233,-0.920490164674,-0.030359584578,-0.014044861869,-0.010484680805,-0.017271388246
column_minmax,Mitotane,-1.29869814221,-1.16655057031,0.558108605847,0.514670682162,0.517449277767,0.511332490424,-0.1321475719,-0.043437923685,-0.04065932808,-0.046776115423
column_minmax,Mitoxantrone,-1.39366768759,-1.39641505106,-0.779199546157,-0.730139337866,-0.77305572855,-0.731038330858,0.00274736347,0.049060208291,0.006143817607,0.048161215299
column_minmax,Neratinib,0.0504223745834,0.151790312019,0.0567684190955,0.0537474451474,0.0507838989284,0.056184856608,-0.101367937436,-0.0030209739481,-0.0059845201671,-0.0005835624875
column_minmax,Nilotinib,0.66573613241,0.76468665534,-1.64442639261,-1.67954203661,-1.68036999412,-1.67816449505,-0.09895052293,-0.035115644,-0.03594360151,-0.03373810244
column_minmax,Olaparib,-3.70681803045,-3.43715695222,1.19664383159,1.21728101338,1.21400241514,1.21703579175,-0.26966107823,0.02063718179,0.01735858355,0.02039196016
column_minmax,Osimertinib,-0.262511186696,-0.255181044595,0.649152056536,0.603415349567,0.603747931114,0.602726320455,-0.007330142101,-0.045736706969,-0.045404125422,-0.046425736081
column_minmax,Oxaliplatin,0.904188511011,0.966167752825,-1.90401903028,-1.86224244737,-1.86167173961,-1.86197697626,-0.061979241814,0.04177658291,0.04234729067,0.04204205402
column_minmax,Paclitaxel,1.58109812817,1.6263077062,-1.32148362926,-1.32270192178,-1.32195368723,-1.28917597813,-0.04520957803,-0.00121829252,-0.00047005797,0.03230765113
column_minmax,Palbociclib,0.841801220525,-1.63447533744,1.53769583599,1.64960445004,1.64851123629,1.65217143382,2.47627655796,0.11190861405,0.1108154003,0.11447559783
column_minmax,Panobinostat,0.125273989772,0.267965641967,1.05858999891,1.01651031125,1.01749748321,1.01330983171,-0.142691652195,-0.04207968766,-0.0410925157,-0.0452801672
column_minmax,Pemetrexed,3.26719574894,3.21441194366,0.559348290783,0.506044470856,0.507639945017,0.504023335907,0.05278380528,-0.053303819927,-0.051708345766,-0.055324954876
column_minmax,Pralatrexate,2.73107284434,2.65911302664,0.663687167244,0.612887437877,0.615218864806,0.60903015179,0.0719598177,-0.050799729367,-0.048468302438,-0.054657015454
column_minmax,Raloxifene,1.17469771136,1.28275840523,1.91646513652,1.83427935905,1.87139970937,1.83943016867,-0.10806069387,-0.08218577747,-0.04506542715,-0.07703496785
column_minmax,Ribociclib,-2.7378912974,-2.75200406659,-1.86307095723,-1.84833122738,-1.84778275305,-1.85052542117,0.01411276919,0.01473972985,0.01528820418,0.01254553606
column_minmax,Romidepsin,-2.78221199113,-2.46280376472,0.122072488126,0.0595227848579,0.0647879480069,0.0536136260596,-0.31940822641,-0.0625497032681,-0.0572845401191,-0.0684588620664
column_minmax,Selinexor,1.12631802194,1.20109785179,1.3975596439,1.38678496146,1.38194815012,1.39072573129,-0.07477982985,-0.01077468244,-0.01561149378,-0.00683391261
column_minmax,Selumetinib,0.0837394363446,0.274582262184,2.19326200025,2.20658692452,2.20510016916,2.21023415178,-0.190842825839,0.01332492427,0.01183816891,0.01697215153
