disease,variant,drug,delta_z,exposed
ACC,uniform_ratio_gene_rank,abiraterone,-0.22547253187400007,False
ACC,uniform_ratio_gene_rank,acalabrutinib,-0.01862380283999987,False
ACC,uniform_ratio_gene_rank,actinomycin d,-0.23052444058,False
ACC,uniform_ratio_gene_rank,afatinib,0.26886699986,False
ACC,uniform_ratio_gene_rank,allopurinol,1.07285055017,False
ACC,uniform_ratio_gene_rank,asciminib,0.05986856841599997,False
ACC,uniform_ratio_gene_rank,axitinib,0.7314998093389999,False
ACC,uniform_ratio_gene_rank,azacitidine,0.047922399449999986,False
ACC,uniform_ratio_gene_rank,belinostat,-0.17552983917999998,False
ACC,uniform_ratio_gene_rank,binimetinib,-0.140503193081,False
ACC,uniform_ratio_gene_rank,bleomycin,-0.10726271808999988,False
ACC,uniform_ratio_gene_rank,bosutinib,-0.0007683837269999994,False
ACC,uniform_ratio_gene_rank,brigatinib,-0.1015552905799999,False
ACC,uniform_ratio_gene_rank,cabozantinib,0.7314998093389999,False
ACC,uniform_ratio_gene_rank,carboplatin,-0.0029795096099998197,False
ACC,uniform_ratio_gene_rank,carfilzomib,-0.23594768273,False
ACC,uniform_ratio_gene_rank,carmustine,0.1373543450439999,False
ACC,uniform_ratio_gene_rank,celecoxib,0.0010544933150000019,False
ACC,uniform_ratio_gene_rank,ceritinib,-0.6790314335100001,False
ACC,uniform_ratio_gene_rank,chlorambucil,0.22976004833499997,False
ACC,uniform_ratio_gene_rank,cisplatin,-0.07270614559,False
ACC,uniform_ratio_gene_rank,cladribine,-0.0018158036130000443,False
ACC,uniform_ratio_gene_rank,clofarabine,-0.0004087993899999365,False
ACC,uniform_ratio_gene_rank,cobimetinib,-0.0550284999001,False
ACC,uniform_ratio_gene_rank,crizotinib,0.276818663767,False
ACC,uniform_ratio_gene_rank,cyclophosphamide,-0.009700179889999827,False
ACC,uniform_ratio_gene_rank,cytarabine,0.019507223731,False
ACC,uniform_ratio_gene_rank,dabrafenib,0.03257018619700003,False
ACC,uniform_ratio_gene_rank,dacarbazine,0.41940159213999995,False
ACC,uniform_ratio_gene_rank,dacomitinib,-0.20988854588399997,False
ACC,uniform_ratio_gene_rank,darolutamide,0.006341427672700002,False
ACC,uniform_ratio_gene_rank,dasatinib,-0.1779054996060001,False
ACC,uniform_ratio_gene_rank,daunorubicin,0.1347717398151,False
ACC,uniform_ratio_gene_rank,decitabine,0.065654545191,False
ACC,uniform_ratio_gene_rank,dexrazoxane,-0.0009344236259999361,False
ACC,uniform_ratio_gene_rank,docetaxel,-0.005553073900000038,False
ACC,uniform_ratio_gene_rank,doxorubicin,-0.18306943513999996,False
ACC,uniform_ratio_gene_rank,duvelisib,-0.18525893244299996,False
ACC,uniform_ratio_gene_rank,encorafenib,-0.005789148230000096,False
ACC,uniform_ratio_gene_rank,epirubicin,-0.139938308409,False
ACC,uniform_ratio_gene_rank,erdafitinib,-0.09850846666000002,False
