draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
647,0.988777425286,0.818181818182,0.990644678804,0.818181818182,2.83333333333,20,7,29,51
648,0.978221726828,0.904761904762,0.989291872684,0.904761904762,3.44444444444,31,13,57,50
649,0.990711366429,0.904761904762,0.990501776749,0.818181818182,2.09259259259,30,7,28,49
650,0.984814274963,0.818181818182,0.985128659483,0.904761904762,3.25925925926,25,10,51,48
651,0.985814589347,0.818181818182,0.987510360399,0.904761904762,2.94444444444,32,6,28,47
652,0.978269360847,0.818181818182,0.981613268932,0.904761904762,3.42592592593,31,13,52,49
653,0.990787580859,0.904761904762,0.991540198348,0.904761904762,2.42592592593,25,9,27,49
654,0.992407137481,0.904761904762,0.99380757762,1,1.92592592593,29,8,34,48
655,0.987767584098,0.904761904762,0.989892061315,0.818181818182,2.75925925926,33,11,29,47
656,0.994474453876,0.904761904762,0.992978745701,0.818181818182,1.88888888889,20,12,46,47
657,0.971562491069,0.666666666667,0.983833014185,0.739130434783,4.31481481481,37,10,44,50
658,0.967199214991,0.818181818182,0.980279516419,0.904761904762,4.68518518519,33,12,53,48
659,0.980565320529,0.739130434783,0.988081968619,0.739130434783,3.7037037037,31,9,45,49
660,0.986957805787,0.904761904762,0.994236283784,0.904761904762,3.2962962963,23,11,35,50
661,0.972067411663,0.666666666667,0.985681214096,0.739130434783,4.31481481481,33,20,59,49
662,0.988825059304,1,0.992321396248,0.904761904762,2.37037037037,26,14,50,47
663,0.973706021893,0.818181818182,0.986309983138,0.904761904762,4.16666666667,27,14,53,49
664,0.979279202035,0.739130434783,0.987900959349,0.739130434783,4.03703703704,33,14,59,51
665,0.993559880724,0.904761904762,0.992740575609,0.818181818182,2.14814814815,21,13,47,49
666,0.991749788029,1,0.990949536521,0.904761904762,2.12962962963,27,14,53,48
