draw,weight_G,weight_R,weight_P,weight_L,weight_S,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,CDK46_mean_rank,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
175,0.328353103125,0.185652734471,0.253450683368,0.160734571462,0.0718089075745,0.999456972191,1,28.6666666667,8,27,51
176,0.0720254570213,0.286479514427,0.0978646525845,0.0223377005226,0.521292675444,0.998952051597,1,28,7,26,51
177,0.21953116966,0.0639913756553,0.177967395481,0.306351295856,0.232158763347,0.998837729953,1,28,8,27,49
178,0.148801174851,0.238367764724,0.400460221039,0.0173052231925,0.195065616194,0.999228328903,1,27.6666666667,8,26,49
179,0.48007117483,0.265376375951,0.0388256607696,0.104963164856,0.110763623594,0.998790095935,0.904761904762,27.6666666667,7,26,50
180,0.133819269329,0.413718682308,0.0237338306556,0.119530230497,0.309197987211,0.998971105204,1,28.3333333333,8,26,51
181,0.207517792966,0.365335933612,0.00394392214296,0.0266359430978,0.396566408181,0.998961578401,1,28,7,26,51
182,0.821771294306,0.00561163956993,0.00220964803245,0.0274978725275,0.142909545564,0.995427134242,0.904761904762,27.3333333333,8,24,50
183,0.0830858401235,0.266463976176,0.0326376873269,0.1649681086,0.452844387773,0.998723408309,1,28,7,26,51
184,0.555991463023,0.200446366741,0.16128586672,0.0689187295354,0.0133575739806,0.998913944383,0.904761904762,27.6666666667,7,26,50
185,0.367279341407,0.110882513332,0.290721008151,0.0582479632882,0.172869173822,0.999657035068,1,28.3333333333,8,26,51
186,0.429205119746,0.029289030511,0.159328385124,0.25575301741,0.126424447209,0.999761829908,1,27.6666666667,7,26,50
187,0.389229737073,0.112160094291,0.0489701200018,0.422358875318,0.0272811733166,0.999123534063,1,29.3333333333,10,28,50
188,0.0441182922667,0.0904522643576,0.276059640598,0.432864309527,0.15650549325,0.99729438776,1,28.3333333333,8,29,48
189,0.0523783380695,0.147782625231,0.418972904442,0.171193910449,0.209672221808,0.998590033058,1,28,8,27,49
190,0.591223439667,0.0350162860881,0.16772637547,0.072987787266,0.133046111509,0.998971105204,0.904761904762,27.6666666667,7,26,50
191,0.542750013493,0.202039892927,0.0179729517192,0.131734072968,0.105503068892,0.998609086665,0.904761904762,27,7,25,49
192,0.00695357081594,0.153674428135,0.184844012148,0.444465293702,0.210062695199,0.997151485705,1,28.3333333333,8,29,48
193,0.127815766316,0.247851903935,0.262205508863,0.017017797921,0.345109022964,0.999190221689,1,28,8,26,50
194,0.142932507104,0.386224948353,0.117581117627,0.147437686328,0.205823740588,0.9992188021,1,28.3333333333,8,27,50
195,0.0430419467206,0.160238130081,0.2684850181,0.0623286477133,0.465906257386,0.998866310364,1,27.6666666667,8,26,49
196,0.0527142042588,0.0956974628062,0.165457618123,0.0772517934044,0.608878921408,0.998771042328,1,27.3333333333,7,26,49
197,0.376414063118,0.123712857156,0.353991987878,0.116584289011,0.0292968028373,0.999523659817,1,28.6666666667,8,27,51
198,0.258998072642,0.292493957094,0.194215794406,0.104600549482,0.149691626377,0.999618927854,1,28.3333333333,8,26,51
199,0.0122563428864,0.214679611367,0.177624204649,0.0877751121388,0.507664728959,0.998723408309,1,27.6666666667,8,26,49
200,0.272621826368,0.310585433026,0.04734108334,0.320782593197,0.0486690640691,0.999266436118,1,29,8,28,51
201,0.416878616706,0.0620857868506,0.0148767538726,0.447333384593,0.0588254579772,0.999180694885,1,29.3333333333,10,28,50
202,0.0227696427224,0.227870933602,0.524503960086,0.0943689753926,0.130486488196,0.998523345432,1,28,8,27,49
203,0.0903316934677,0.0306786942092,0.228916310438,0.463482847371,0.186590454514,0.997237226938,0.904761904762,28.3333333333,8,29,48
204,0.0614980788462,0.00158044042116,0.318313326025,0.387757122933,0.230851031775,0.997427763011,1,28.3333333333,8,29,48
205,0.282419638312,0.211808267112,0.350404562828,0.144021958071,0.0113455736772,0.999580820639,1,28.3333333333,8,27,50
206,0.404843388894,0.320978204692,0.0262011219769,0.178759205394,0.069218079043,0.999152114474,0.904761904762,27.6666666667,7,26,50
207,0.430010561735,0.0164245919298,0.344429246355,0.172150269709,0.0369853302709,0.999466498995,1,28.3333333333,7,27,51
208,0.217120088458,0.34895964483,0.249825078888,0.00526549708198,0.178829690742,0.999571293835,1,28,8,26,50
